X,Y,Width,Height,260 MT-KOBELCO-CKL 2600i
27,626,181,81,
374,567,166,25,
79,567,291,25,
430,540,64,24,
306,540,67,24,
203,540,65,24,
99,540,104,24,
29,415,541,87,
29,313,541,98,
357,214,196,59,
141,148,200,125,
33,134,93,139,
