X,Y,Width,Height,260 MT-KOBELCO-CKL 2600i
28,703,75,71,
320,696,143,63,
30,585,130,47,
385,574,140,82,
408,493,120,28,
260,490,111,30,
34,481,72,35,
408,464,120,22,
251,463,113,21,
34,446,67,25,
131,445,73,75,
400,380,152,42,
29,374,128,27,
244,349,91,68,
29,349,128,22,
416,347,135,27,
28,276,117,33,
403,270,138,43,
243,266,55,40,
403,234,122,31,
418,156,103,41,
261,156,118,41,
30,154,161,62,
412,120,124,32,
248,120,131,32,
29,100,539,440,
