X,Y,Width,Height,260 MT-KOBELCO-CKL 2600i
29,713,255,31,
29,648,255,65,
317,617,249,43,
29,599,255,48,
311,557,255,51,
29,547,255,36,
311,523,255,33,
29,523,255,23,
309,432,260,58,
64,299,220,30,
348,221,219,30,
64,114,220,30,
