X,Y,Width,Height,260 MT-KOBELCO-CKL 2600i
413,669,52,35,
77,656,154,127,
365,653,189,130,
376,488,146,118,
122,482,138,124,
353,308,158,126,
85,301,107,133,
64,199,187,50,
365,151,134,98,
